site,category,site_product_type,site_tags,product_title,variant_title,form_factor,form_factor_description,price_usd,weight_grams,price_per_gram,year,in_stock,product_url
Farmerleaf,Other,Pu-erh tea,"map-lao-man-e, sold out",Spring 2026 Lao Man E Bitter Tea,20g pouch,Other/Unspecified,Could not tell from the title - check manually,25.0,20.0,1.25,2026,False,https://farmerleaf.com/products/spring-2026-lao-man-e-bitter-tea
Farmerleaf,Raw Puer,Pu-erh tea,map-bangwai,Spring 2024 Bangwai single trees,20g sample,Sample,Small sample-size portion of a tea,25.0,20.0,1.25,2024,False,https://farmerleaf.com/products/spring-2024-bangwai-single-trees
Farmerleaf,Other,Pu-erh tea,"map-lao-man-e, sold out",Spring 2014 Lao Man E Bitter Gushu,20g sample,Sample,Small sample-size portion of a tea,25.0,20.0,1.25,2014,False,https://farmerleaf.com/products/spring-2014-lao-man-e-bitter-gushu
Farmerleaf,Other,Pu-erh tea,"map-jingmai, sold out",Spring 2023 Jingmai Mai Sao Kan,20g sample,Sample,Small sample-size portion of a tea,25.0,20.0,1.25,2023,False,https://farmerleaf.com/products/spring-2023-jingmai-mai-sao-kan
King Tea Mall,Heicha,,"Dark Tea, Liu Bao Tea","80’s ShangYuanDu ""Liu Bao - Nen Jian"" (Liubao - Young Bud S++ Grade ) Loose Leaf Dark Tea Wuzhou, Guangxi.",1000g,Loose Leaf,Loose leaf tea,1252.0,1000.0,1.252,,False,https://kingteamall.com/products/80-s-liu-bao-nen-jian-liubao-young-bud-s-grade-loose-leaf-dark-tea-wuzhou-guangxi
King Tea Mall,Oolong,,TieGuanYin Oolong,"15-Year “Lao Tie” (Aged Tie Guan Yin) A+++++, Oolong Tea, TiKuanYin. Anxi County.",300g,Other/Unspecified,Could not tell from the title - check manually,375.99,300.0,1.2533,,True,https://kingteamall.com/products/15-years-aged-tieguanyin-heavy-roasted-oolong-tea
Yunnan Sourcing,Raw Puer,Raw Pu-erh Tea,"$0.80-$0.899/g, 2022, Cake, Kunming Storage, Loose Leaf Tea, PI2024, Price per gram_$0.80-$0.899/g, Producer_Yunnan Sourcing Brand Tea, Pu-erh Harvest Season_Spring Harvest, Region_Yunnan, revoq-no-withdrawal, Sample Available, Shape_Cake, Single-Estate, Spring Harvest, Stone Pressed, Storage Type_Kunming Storage, Sub-Region Xishuangbanna (Yunnan), Sub-Region_Xishuangbanna (Yunnan), Sub-Region_Yi Wu Mountains (Yunnan), Tea Type_Raw Pu-erh Tea, Year of Production_2022, Yi Wu, YSPI2026","2022 Yunnan Sourcing ""Wa Long Village"" Ancient Arbor Raw Pu-erh Tea Cake",1 Cake (200 Grams),Whole Cake,"A whole pressed tea cake, brick, or tuo",251.0,200.0,1.255,2022,True,https://yunnansourcing.com/products/2022-yunnan-sourcing-wa-long-village-ancient-arbor-raw-pu-erh-tea-cake
King Tea Mall,Raw Puer,,Puerh Raw Tea Sheng Cha,"2013 ChenShengHao ""Tian Cha"" (Heaven) Cake 300g Puerh Raw Tea Sheng Cha",7pcs,Whole Cake,"A whole pressed tea cake, brick, or tuo",2639.0,2100.0,1.2567,2013,True,https://kingteamall.com/products/2013-chenshenghao-tian-cha-heaven-cake-300g-puerh-raw-tea-sheng-cha
King Tea Mall,Other,,Puerh Ripe Tea Shou Cha,"2013 ChenShengHao ""He Cha"" (Harmony) Cake 300g Puerh Ripe Tea Shou Cha",7pcs,Whole Cake,"A whole pressed tea cake, brick, or tuo",2639.0,2100.0,1.2567,2013,True,https://kingteamall.com/products/2013-chenshenghao-he-cha-harmony-cake-300g-puerh-ripe-tea-shou-cha
Yunnan Sourcing,Raw Puer,Raw Pu-erh Tea,"$0.60-$0.699/g, 2016, 250 Grams, Cake, Kunming Storage, PI2024, Price per gram_$0.60-$0.699/g, Producer_Yunnan Sourcing Brand Tea, Pu-erh Harvest Season_Spring Harvest, Region_Yunnan, revoq-no-withdrawal, Sample Available, Shape_Cake, Single-Estate, Spring Harvest, Stone Pressed, Storage Type_Kunming Storage, Sub-Region Xishuangbanna (Yunnan), Sub-Region_Xishuangbanna (Yunnan), Sub-Region_Yi Wu Mountains (Yunnan), Tea Type_Raw Pu-erh Tea, Year of Production_2016, Yi Wu, YSPI2026","2016 Yunnan Sourcing ""Mang Zhi"" Ancient Arbor Raw Pu-erh Tea Cake",1 Cake (250 Grams),Whole Cake,"A whole pressed tea cake, brick, or tuo",314.5,250.0,1.258,2016,True,https://yunnansourcing.com/products/2016-yunnan-sourcing-mang-zhi-ancient-arbor-raw-pu-erh-tea-cake
Yunnan Sourcing,Raw Puer,Raw Pu-erh Tea,"$0.70-$0.799/g, 2012, 250 grams, Cake, Kunming Storage, PI2024, Price per gram_$0.70-$0.799/g, Producer_Yunnan Sourcing Brand Tea, Pu-erh Harvest Season_Spring Harvest, Region_Yunnan, revoq-no-withdrawal, Sample Available, Shape_Cake, Single-Estate, Spring Harvest, Storage Type_Kunming Storage, Sub-Region Xishuangbanna (Yunnan), Sub-Region_Xishuangbanna (Yunnan), Sub-Region_Yi Wu Mountains (Yunnan), Tea Type_Raw Pu-erh Tea, Year of Production_2012, Yi Wu, YSPI2026","2012 Yunnan Sourcing ""Yi Wu Gu Shu"" Raw Pu-erh Tea Cake",1 cake (250 grams),Whole Cake,"A whole pressed tea cake, brick, or tuo",314.5,250.0,1.258,2012,True,https://yunnansourcing.com/products/2012-yunnan-sourcing-yi-wu-gu-shu-raw-pu-erh-tea-cake
